CAMPUS;CURSO/TURNO/INTEGRADO;Turno;Código;VAGAS 2024.1;INSCRITOS 2024.1;VAGAS 2023.1;INSCRITOS 2023.1;VAGAS 2022.2;INSCRITOS;VAGAS 2022.1;INSCRITOS;VAGAS 2020.1;VAGAS 2019.1;VAGAS 2018.1;VAGAS 2017.1;VAGAS 2016.1;VAGAS 2015.1;ISENTOS 2020.1;ISENTOS 2019.1;ISENTOS 2018.1;ISENTOS 2017.1;ISENTOS 2016.1;ISENTOS 2015.1;PAGOS 2020.1;PAGOS 2019.1;PAGOS 2018.1;PAGOS 2017.1;PAGOS 2016.1;PAGOS 2015.1;REMANESCENTES 2020.1;REMANESCENTES 2019.1;REMANESCENTES 2018.1;REMANESCENTES 2017.1;REMANESCENTES 2016.1;REMANESCENTES 2015.1;TOTAL 2020.1;TOTAL 2019.1;TOTAL 2018.1;TOTAL 2017.1;TOTAL 2016.1;TOTAL 2015.1
CAMPUS MURICI;Alimentos;Noturno;325205;40;30;40;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAMPUS PALMEIRA DOS ÍNDIOS;Informática;Vespertino;1030612;36;185;36;238;;;36;140;36;35;40;36;36;36;75;62;25;11;2;0;66;137;123;127;176;98;---;---;---;---;---;---;141;199;148;138;178;98
CAMPUS PALMEIRA DOS ÍNDIOS;Informática;Matutino;1030611;36;239;36;293;;;36;250;36;35;40;36;36;36;91;74;42;7;19;1;139;123;133;130;129;148;---;---;---;---;---;---;230;197;175;137;148;149
CAMPUS PALMEIRA DOS ÍNDIOS;Edificações;Vespertino;1030712;36;115;36;149;;;36;57;36;35;40;36;36;36;49;44;25;6;3;1;60;115;137;163;154;223;---;---;---;---;---;---;109;159;162;169;157;224
CAMPUS PALMEIRA DOS ÍNDIOS;Edificações;Matutino;1030711;36;149;36;132;;;36;93;36;35;40;36;36;36;70;37;66;9;24;0;141;110;147;187;291;211;---;---;---;---;---;---;211;147;213;196;315;211
CAMPUS PALMEIRA DOS ÍNDIOS;Eletrotécnica;Vespertino;1030312;36;72;36;86;;;36;73;36;35;40;36;36;36;37;47;28;8;1;1;47;94;69;160;86;131;---;---;---;---;---;---;84;141;97;168;87;132
CAMPUS PALMEIRA DOS ÍNDIOS;Eletrotécnica;Matutino;1030311;36;72;36;102;;;36;63;36;35;40;36;36;36;34;32;43;3;5;1;90;57;65;98;175;115;---;---;---;---;---;---;124;89;108;101;180;116
CAMPUS PALMEIRA DOS ÍNDIOS;Segurança do Trabalho;Matutino;1031541;36;150;36;189;;;36;116;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAMPUS PALMEIRA DOS ÍNDIOS;Segurança do Trabalho;Vespertino;1031542;36;104;36;181;;;36;94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAMPUS PENEDO;Meio Ambiente;Vespertino;1080112;36;95;36;62;;;36;42;36;40;35;36;40;36;42;38;35;50;45;4;38;27;30;81;123;129;---;---;---;---;---;---;80;65;65;131;168;133
CAMPUS PENEDO;Meio Ambiente;Matutino;1080111;36;158;36;158;;;36;106;36;40;35;36;40;36;82;81;60;75;71;22;101;90;73;186;241;248;---;---;---;---;---;---;183;171;133;261;312;270
CAMPUS PENEDO;Açúcar e Álcool ;Vespertino;1081112;0;0;0;0;;;---;---;---;---;35;36;40;36;---;---;47;17;12;6;---;---;18;26;61;51;---;---;---;---;---;---;---;---;65;43;73;57
CAMPUS PENEDO;Açúcar e Álcool;Matutino;1081111;0;0;0;0;;;---;---;---;---;35;36;40;36;---;---;64;58;43;6;---;---;47;100;82;94;---;---;---;---;---;---;---;---;111;158;125;100
CAMPUS PENEDO;Química ;Vespertino;1080332;36;95;36;54;;;36;39;36;40;---;---;---;---;31;27;---;---;---;---;21;16;---;---;---;---;---;---;---;---;---;---;52;43;---;---;---;---
CAMPUS PENEDO;Química ;Matutino;1080331;36;158;36;137;;;36;83;36;40;---;---;---;---;32;53;---;---;---;---;75;74;---;---;---;---;---;---;---;---;---;---;107;127;---;---;---;---
CAMPUS PIRANHAS;Agroindústria;Vespertino;1090912;36;41;36;79;;;36;44;36;40;36;36;36;36;26;56;30;51;27;9;5;9;5;9;21;38;---;---;---;---;---;---;31;65;35;60;48;47
CAMPUS PIRANHAS;Agroindústria;Matutino;1090911;36;113;36;122;;;36;82;36;40;36;36;36;36;49;82;71;65;35;10;48;46;31;26;39;122;---;---;---;---;---;---;97;128;102;91;74;132
CAMPUS PIRANHAS;Agroecologia;Vespertino;1091212;0;0;0;0;;;---;---;---;40;36;36;36;36;---;60;13;44;28;14;---;11;9;8;10;39;---;---;3;---;---;---;---;71;22;52;38;53
CAMPUS PIRANHAS;Agroecologia;Matutino;1091211;36;46;36;58;;;36;31;---;40;36;36;36;36;---;57;50;59;40;9;---;13;13;20;34;54;---;---;---;---;---;---;---;70;63;79;74;63
CAMPUS PIRANHAS;Agropecuária;Matutino;1091222;36;115;36;101;;;36;68;36;---;---;---;---;---;39;---;---;---;---;---;17;---;---;---;---;---;---;---;;;;;56;;;;;
CAMPUS PIRANHAS;Agropecuária;Vespertino;1091221;36;90;36;60;;;36;55;36;---;---;---;---;---;42;---;---;---;---;---;23;---;---;---;---;---;---;---;;;;;65;;;;;
CAMPUS PIRANHAS;Alimentos;Noturno;1090913;40;35;40;;;;40;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAMPUS RIO LARGO;Informática;Matutino;1210611;32;113;36;340;;;36;299;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAMPUS SANTANA DO IPANEMA;Administração;Vespertino;1110422;36;100;36;124;;;36;48;36;34;34;40;---;---;43;33;33;13;---;---;64;82;34;65;---;---;---;---;---;---;---;---;107;115;67;78;0;0
CAMPUS SANTANA DO IPANEMA;Administração;Matutino;1110421;36;265;36;309;;;36;58;36;34;34;40;---;---;71;51;57;23;---;---;146;115;134;122;---;---;---;---;---;---;---;---;217;166;191;145;0;0
CAMPUS SANTANA DO IPANEMA;Agropecuária;Vespertino;1111212;36;93;36;124;;;36;31;36;34;34;34;36;34;47;70;33;14;16;6;42;51;27;33;62;120;---;---;---;---;---;---;89;121;60;47;78;126
CAMPUS SANTANA DO IPANEMA;Agropecuária;Matutino;1111211;36;238;36;231;40;37;36;72;36;34;34;34;36;34;92;103;33;5;7;2;110;118;84;82;159;244;---;---;---;---;---;---;202;221;117;87;166;246
