co_mun,no_mun,ano,variavel,economia_categoria,economia_subcategoria,valor
2700102,Água Branca,2020.0,Valor adicionado bruto a preços correntes total ,Preço correntes total,Mil Reais,160951.0
2700102,Água Branca,2021.0,Produto Interno Bruto a preços correntes ,Preço correntes,Mil Reais,202655.0
2700102,Água Branca,2021.0,Valor adicionado bruto a preços correntes da agropecuária ,Preço correntes da agropecuária,Mil Reais,34103.0
2700102,Água Branca,2021.0,Valor adicionado bruto a preços correntes da indústria ,Preço correntes da indústria,Mil Reais,6900.0
2700102,Água Branca,2021.0,Valor adicionado bruto a preços correntes de Serviço ,Preço correntes de Serviço,Mil Reais,155237.0
2700102,Água Branca,2021.0,Valor adicionado bruto a preços correntes total ,Preço correntes total,Mil Reais,196240.0
2700201,Anadia,2002.0,Produto Interno Bruto a preços correntes ,Preço correntes,Mil Reais,65572.0
2700201,Anadia,2002.0,Valor adicionado bruto a preços correntes da agropecuária ,Preço correntes da agropecuária,Mil Reais,37502.0
2700201,Anadia,2002.0,Valor adicionado bruto a preços correntes da indústria ,Preço correntes da indústria,Mil Reais,2247.0
2700201,Anadia,2002.0,Valor adicionado bruto a preços correntes de Serviço ,Preço correntes de Serviço,Mil Reais,24827.0
2700201,Anadia,2002.0,Valor adicionado bruto a preços correntes total ,Preço correntes total,Mil Reais,64576.0
2700201,Anadia,2003.0,Produto Interno Bruto a preços correntes ,Preço correntes,Mil Reais,55365.0
2700201,Anadia,2003.0,Valor adicionado bruto a preços correntes da agropecuária ,Preço correntes da agropecuária,Mil Reais,25619.0
2700201,Anadia,2003.0,Valor adicionado bruto a preços correntes da indústria ,Preço correntes da indústria,Mil Reais,1383.0
2700201,Anadia,2003.0,Valor adicionado bruto a preços correntes de Serviço ,Preço correntes de Serviço,Mil Reais,27423.0
2700201,Anadia,2003.0,Valor adicionado bruto a preços correntes total ,Preço correntes total,Mil Reais,54424.0
2700201,Anadia,2004.0,Produto Interno Bruto a preços correntes ,Preço correntes,Mil Reais,55926.0
2700201,Anadia,2004.0,Valor adicionado bruto a preços correntes da agropecuária ,Preço correntes da agropecuária,Mil Reais,24536.0
2700201,Anadia,2004.0,Valor adicionado bruto a preços correntes da indústria ,Preço correntes da indústria,Mil Reais,1599.0
2700201,Anadia,2004.0,Valor adicionado bruto a preços correntes de Serviço ,Preço correntes de Serviço,Mil Reais,28553.0
2700201,Anadia,2004.0,Valor adicionado bruto a preços correntes total ,Preço correntes total,Mil Reais,54689.0
2700201,Anadia,2005.0,Produto Interno Bruto a preços correntes ,Preço correntes,Mil Reais,64276.0
2700201,Anadia,2005.0,Valor adicionado bruto a preços correntes da agropecuária ,Preço correntes da agropecuária,Mil Reais,27177.0
2700201,Anadia,2005.0,Valor adicionado bruto a preços correntes da indústria ,Preço correntes da indústria,Mil Reais,1914.0
2700201,Anadia,2005.0,Valor adicionado bruto a preços correntes de Serviço ,Preço correntes de Serviço,Mil Reais,33232.0
2700201,Anadia,2005.0,Valor adicionado bruto a preços correntes total ,Preço correntes total,Mil Reais,62323.0
2700201,Anadia,2006.0,Produto Interno Bruto a preços correntes ,Preço correntes,Mil Reais,74032.0
2700201,Anadia,2006.0,Valor adicionado bruto a preços correntes da agropecuária ,Preço correntes da agropecuária,Mil Reais,31662.0
2700201,Anadia,2006.0,Valor adicionado bruto a preços correntes da indústria ,Preço correntes da indústria,Mil Reais,2335.0
2700201,Anadia,2006.0,Valor adicionado bruto a preços correntes de Serviço ,Preço correntes de Serviço,Mil Reais,37666.0
2700201,Anadia,2006.0,Valor adicionado bruto a preços correntes total ,Preço correntes total,Mil Reais,71663.0
2700201,Anadia,2007.0,Produto Interno Bruto a preços correntes ,Preço correntes,Mil Reais,74771.0
2700201,Anadia,2007.0,Valor adicionado bruto a preços correntes da agropecuária ,Preço correntes da agropecuária,Mil Reais,29776.0
2700201,Anadia,2007.0,Valor adicionado bruto a preços correntes da indústria ,Preço correntes da indústria,Mil Reais,2217.0
2700201,Anadia,2007.0,Valor adicionado bruto a preços correntes de Serviço ,Preço correntes de Serviço,Mil Reais,41002.0
2700201,Anadia,2007.0,Valor adicionado bruto a preços correntes total ,Preço correntes total,Mil Reais,72995.0
2700201,Anadia,2008.0,Produto Interno Bruto a preços correntes ,Preço correntes,Mil Reais,86090.0
2700201,Anadia,2008.0,Valor adicionado bruto a preços correntes da agropecuária ,Preço correntes da agropecuária,Mil Reais,35591.0
2700201,Anadia,2008.0,Valor adicionado bruto a preços correntes da indústria ,Preço correntes da indústria,Mil Reais,2534.0
2700201,Anadia,2008.0,Valor adicionado bruto a preços correntes de Serviço ,Preço correntes de Serviço,Mil Reais,45921.0
2700201,Anadia,2008.0,Valor adicionado bruto a preços correntes total ,Preço correntes total,Mil Reais,84046.0
2700201,Anadia,2009.0,Produto Interno Bruto a preços correntes ,Preço correntes,Mil Reais,99646.0
2700201,Anadia,2009.0,Valor adicionado bruto a preços correntes da agropecuária ,Preço correntes da agropecuária,Mil Reais,41184.0
2700201,Anadia,2009.0,Valor adicionado bruto a preços correntes da indústria ,Preço correntes da indústria,Mil Reais,3881.0
2700201,Anadia,2009.0,Valor adicionado bruto a preços correntes de Serviço ,Preço correntes de Serviço,Mil Reais,52517.0
2700201,Anadia,2009.0,Valor adicionado bruto a preços correntes total ,Preço correntes total,Mil Reais,97581.0
2700201,Anadia,2010.0,Produto Interno Bruto a preços correntes ,Preço correntes,Mil Reais,85608.0
2700201,Anadia,2010.0,Valor adicionado bruto a preços correntes da agropecuária ,Preço correntes da agropecuária,Mil Reais,27178.0
2700201,Anadia,2010.0,Valor adicionado bruto a preços correntes da indústria ,Preço correntes da indústria,Mil Reais,3252.0
2700201,Anadia,2010.0,Valor adicionado bruto a preços correntes de Serviço ,Preço correntes de Serviço,Mil Reais,53172.0
2700201,Anadia,2010.0,Valor adicionado bruto a preços correntes total ,Preço correntes total,Mil Reais,83602.0
2700201,Anadia,2011.0,Produto Interno Bruto a preços correntes ,Preço correntes,Mil Reais,106699.0
2700201,Anadia,2011.0,Valor adicionado bruto a preços correntes da agropecuária ,Preço correntes da agropecuária,Mil Reais,40764.0
2700201,Anadia,2011.0,Valor adicionado bruto a preços correntes da indústria ,Preço correntes da indústria,Mil Reais,4336.0
2700201,Anadia,2011.0,Valor adicionado bruto a preços correntes de Serviço ,Preço correntes de Serviço,Mil Reais,59314.0
2700201,Anadia,2011.0,Valor adicionado bruto a preços correntes total ,Preço correntes total,Mil Reais,104415.0
2700201,Anadia,2012.0,Produto Interno Bruto a preços correntes ,Preço correntes,Mil Reais,107645.0
2700201,Anadia,2012.0,Valor adicionado bruto a preços correntes da agropecuária ,Preço correntes da agropecuária,Mil Reais,34384.0
2700201,Anadia,2012.0,Valor adicionado bruto a preços correntes da indústria ,Preço correntes da indústria,Mil Reais,3631.0
2700201,Anadia,2012.0,Valor adicionado bruto a preços correntes de Serviço ,Preço correntes de Serviço,Mil Reais,66633.0
2700201,Anadia,2012.0,Valor adicionado bruto a preços correntes total ,Preço correntes total,Mil Reais,104648.0
2700201,Anadia,2013.0,Produto Interno Bruto a preços correntes ,Preço correntes,Mil Reais,116960.0
2700201,Anadia,2013.0,Valor adicionado bruto a preços correntes da agropecuária ,Preço correntes da agropecuária,Mil Reais,33324.0
2700201,Anadia,2013.0,Valor adicionado bruto a preços correntes da indústria ,Preço correntes da indústria,Mil Reais,3684.0
2700201,Anadia,2013.0,Valor adicionado bruto a preços correntes de Serviço ,Preço correntes de Serviço,Mil Reais,77367.0
2700201,Anadia,2013.0,Valor adicionado bruto a preços correntes total ,Preço correntes total,Mil Reais,114375.0
2700201,Anadia,2014.0,Produto Interno Bruto a preços correntes ,Preço correntes,Mil Reais,125747.0
2700201,Anadia,2014.0,Valor adicionado bruto a preços correntes da agropecuária ,Preço correntes da agropecuária,Mil Reais,37083.0
2700201,Anadia,2014.0,Valor adicionado bruto a preços correntes da indústria ,Preço correntes da indústria,Mil Reais,3864.0
2700201,Anadia,2014.0,Valor adicionado bruto a preços correntes de Serviço ,Preço correntes de Serviço,Mil Reais,81992.0
2700201,Anadia,2014.0,Valor adicionado bruto a preços correntes total ,Preço correntes total,Mil Reais,122939.0
2700201,Anadia,2015.0,Produto Interno Bruto a preços correntes ,Preço correntes,Mil Reais,126221.0
2700201,Anadia,2015.0,Valor adicionado bruto a preços correntes da agropecuária ,Preço correntes da agropecuária,Mil Reais,25083.0
2700201,Anadia,2015.0,Valor adicionado bruto a preços correntes da indústria ,Preço correntes da indústria,Mil Reais,4509.0
2700201,Anadia,2015.0,Valor adicionado bruto a preços correntes de Serviço ,Preço correntes de Serviço,Mil Reais,93706.0
2700201,Anadia,2015.0,Valor adicionado bruto a preços correntes total ,Preço correntes total,Mil Reais,123299.0
