co_mun,no_mun,ano,variavel,inf_categoria,inf_subcategoria,valor
2700102,Água Branca,2023,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Dezembro,5187
2700102,Água Branca,2023,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Fevereiro,5143
2700102,Água Branca,2023,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Janeiro,5106
2700102,Água Branca,2023,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Julho,5110
2700102,Água Branca,2023,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Junho,5089
2700102,Água Branca,2023,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Maio,5065
2700102,Água Branca,2023,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Março,5156
2700102,Água Branca,2023,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Novembro,5167
2700102,Água Branca,2023,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Outubro,5136
2700102,Água Branca,2023,Cadastro Único,Quantidade total de famílias inscritas no Cadastro Único,Setembro,5127
2700102,Água Branca,2023,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Abril,15063
2700102,Água Branca,2023,Cadastro Único,Quantidade total de pessoas inscritas no Cadastro Único,Agosto,15143
