_id,co_reg_plan,no_reg_plan,ano,variavel,ensino_rede,ensino_tipo,valor
135,2701.0,Alto Sertão,2012,Matrícula,Estadual,Ensino Médio,6330.0
136,2701.0,Alto Sertão,2012,Matrícula,Federal,Educação Infantil,0.0
137,2701.0,Alto Sertão,2012,Matrícula,Federal,Educação Profissional,256.0
138,2701.0,Alto Sertão,2012,Matrícula,Federal,Educação de Jovens e Adultos (EJA),0.0
139,2701.0,Alto Sertão,2012,Matrícula,Federal,Ensino Fundamental,0.0
140,2701.0,Alto Sertão,2012,Matrícula,Federal,Ensino Médio,256.0
141,2701.0,Alto Sertão,2012,Matrícula,Municipal,Educação Infantil,6020.0
142,2701.0,Alto Sertão,2012,Matrícula,Municipal,Educação Profissional,0.0
143,2701.0,Alto Sertão,2012,Matrícula,Municipal,Educação de Jovens e Adultos (EJA),6931.0
144,2701.0,Alto Sertão,2012,Matrícula,Municipal,Ensino Fundamental,31204.0
145,2701.0,Alto Sertão,2012,Matrícula,Municipal,Ensino Médio,0.0
146,2701.0,Alto Sertão,2012,Matrícula,Privada,Educação Infantil,285.0
147,2701.0,Alto Sertão,2012,Matrícula,Privada,Educação Profissional,0.0
148,2701.0,Alto Sertão,2012,Matrícula,Privada,Educação de Jovens e Adultos (EJA),0.0
149,2701.0,Alto Sertão,2012,Matrícula,Privada,Ensino Fundamental,1307.0
150,2701.0,Alto Sertão,2012,Matrícula,Privada,Ensino Médio,318.0
151,2701.0,Alto Sertão,2012,Matrícula,Pública,Educação Infantil,6094.0
152,2701.0,Alto Sertão,2012,Matrícula,Pública,Educação Profissional,633.0
153,2701.0,Alto Sertão,2012,Matrícula,Pública,Educação de Jovens e Adultos (EJA),8440.0
154,2701.0,Alto Sertão,2012,Matrícula,Pública,Ensino Fundamental,35723.0
155,2701.0,Alto Sertão,2012,Matrícula,Pública,Ensino Médio,6586.0
156,2701.0,Alto Sertão,2012,Matrícula,Total,Educação Infantil,6379.0
157,2701.0,Alto Sertão,2012,Matrícula,Total,Educação Profissional,633.0
158,2701.0,Alto Sertão,2012,Matrícula,Total,Educação de Jovens e Adultos (EJA),8440.0
159,2701.0,Alto Sertão,2012,Matrícula,Total,Ensino Fundamental,37030.0
160,2701.0,Alto Sertão,2012,Matrícula,Total,Ensino Médio,6904.0
161,2701.0,Alto Sertão,2013,Matrícula,Estadual,Educação Infantil,79.0
162,2701.0,Alto Sertão,2013,Matrícula,Estadual,Educação Profissional,302.0
163,2701.0,Alto Sertão,2013,Matrícula,Estadual,Educação de Jovens e Adultos (EJA),1411.0
164,2701.0,Alto Sertão,2013,Matrícula,Estadual,Ensino Fundamental,3608.0
165,2701.0,Alto Sertão,2013,Matrícula,Estadual,Ensino Médio,6205.0
166,2701.0,Alto Sertão,2013,Matrícula,Federal,Educação Infantil,0.0
167,2701.0,Alto Sertão,2013,Matrícula,Federal,Educação Profissional,373.0
168,2701.0,Alto Sertão,2013,Matrícula,Federal,Educação de Jovens e Adultos (EJA),0.0
169,2701.0,Alto Sertão,2013,Matrícula,Federal,Ensino Fundamental,0.0
170,2701.0,Alto Sertão,2013,Matrícula,Federal,Ensino Médio,373.0
171,2701.0,Alto Sertão,2013,Matrícula,Municipal,Educação Infantil,6224.0
172,2701.0,Alto Sertão,2013,Matrícula,Municipal,Educação Profissional,0.0
173,2701.0,Alto Sertão,2013,Matrícula,Municipal,Educação de Jovens e Adultos (EJA),8579.0
174,2701.0,Alto Sertão,2013,Matrícula,Municipal,Ensino Fundamental,30412.0
175,2701.0,Alto Sertão,2013,Matrícula,Municipal,Ensino Médio,0.0
176,2701.0,Alto Sertão,2013,Matrícula,Privada,Educação Infantil,299.0
177,2701.0,Alto Sertão,2013,Matrícula,Privada,Educação Profissional,0.0
178,2701.0,Alto Sertão,2013,Matrícula,Privada,Educação de Jovens e Adultos (EJA),0.0
179,2701.0,Alto Sertão,2013,Matrícula,Privada,Ensino Fundamental,1462.0
